City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,Syumsi,57.1111,51.6149,273.43,98,100,3.31,RU,2022-04-17 15:55:03
161,Asfi,32.2994,-9.2372,295.41,59,100,8.22,MA,2022-04-17 15:55:04
162,Provideniya,64.3833,-173.3,271.93,97,100,8.52,RU,2022-04-17 15:55:05
163,Chulman,56.8479,124.9104,259.8,96,99,1.98,RU,2022-04-17 15:55:05
164,Jaru,-10.4389,-62.4664,301.08,76,98,3.32,BR,2022-04-17 15:55:06
165,Tashtyp,52.7939,89.8983,283.66,74,95,1.82,RU,2022-04-17 15:55:06
166,Lazarev,52.225,141.5131,267.64,96,94,4.22,RU,2022-04-17 15:55:06
167,Ilulissat,69.2167,-51.1,258.63,82,21,1.88,GL,2022-04-17 15:54:46
168,Ascension,30.2169,-90.9001,300.97,81,100,4.12,US,2022-04-17 15:55:07
169,Ixtapa,20.7,-105.2,306.56,14,84,1.43,MX,2022-04-17 15:55:07
170,Gushikawa,26.3544,127.8686,291.72,82,20,1.54,JP,2022-04-17 15:55:07
171,Kudymkar,59.0173,54.656,270.11,86,32,1.16,RU,2022-04-17 15:55:07
172,Sladkovo,55.5284,70.3385,279.92,54,14,3.27,RU,2022-04-17 15:55:08
173,Chuy,-33.6971,-53.4616,294.68,54,84,4.35,UY,2022-04-17 15:55:08
174,Iqaluit,63.7506,-68.5145,253.0,70,100,9.77,CA,2022-04-17 15:55:08
175,Hualmay,-11.0964,-77.6139,294.9,73,50,3.89,PE,2022-04-17 15:55:09
176,Linxia,35.6003,103.2064,279.68,39,100,2.42,CN,2022-04-17 15:55:09
177,Bull Savanna,17.8868,-77.5902,300.56,63,2,4.83,JM,2022-04-17 15:55:10
178,Raga,8.4596,25.678,308.14,27,79,0.92,SS,2022-04-17 15:55:10
179,Taoudenni,22.6783,-3.9836,305.71,15,0,7.05,ML,2022-04-17 15:55:10
180,Ponto Novo,-10.8628,-40.1336,300.4,71,100,3.92,BR,2022-04-17 15:55:11
181,Nemuro,43.3236,145.575,277.44,89,94,2.46,JP,2022-04-17 15:50:34
182,Pionerskiy,54.9508,20.2275,280.79,64,78,4.81,RU,2022-04-17 15:56:11
183,Constantine,36.365,6.6147,290.82,51,40,11.83,DZ,2022-04-17 15:56:11
184,Roald,62.5833,6.1333,290.66,66,40,2.57,NO,2022-04-17 15:56:12
185,Marawi,7.9986,124.2928,293.66,95,90,0.23,PH,2022-04-17 15:56:12
186,Jamestown,42.097,-79.2353,275.11,57,75,4.63,US,2022-04-17 15:53:50
187,Shimoda,34.6667,138.95,284.87,77,79,2.83,JP,2022-04-17 15:56:12
188,Huarmey,-10.0681,-78.1522,294.96,74,33,4.04,PE,2022-04-17 15:56:13
189,Rawson,-43.3002,-65.1023,291.15,56,29,10.48,AR,2022-04-17 15:56:13
190,Huangmei,30.1924,116.025,285.98,87,100,2.36,CN,2022-04-17 15:56:13
191,Dhidhdhoo,6.8833,73.1,302.45,74,100,4.88,MV,2022-04-17 15:53:43
192,Vegreville,53.5001,-112.0518,271.18,86,100,0.51,CA,2022-04-17 15:56:14
193,Brae,60.3964,-1.353,283.34,85,100,5.86,GB,2022-04-17 15:56:14
194,Vanimo,-2.6741,141.3028,299.2,87,90,1.22,PG,2022-04-17 15:56:14
195,Chapais,49.7834,-74.8492,270.03,74,100,6.45,CA,2022-04-17 15:56:15
196,Grindavik,63.8424,-22.4338,280.41,57,75,4.63,IS,2022-04-17 15:56:15
197,Hobyo,5.3505,48.5268,302.12,78,18,8.11,SO,2022-04-17 15:52:10
198,Sinnar,13.5691,33.5672,310.76,20,60,2.23,SD,2022-04-17 15:56:15
199,Katobu,-4.9408,122.5276,296.92,97,100,1.57,ID,2022-04-17 15:56:16
200,Tyrma,50.0833,132.1667,267.92,97,88,1.01,RU,2022-04-17 15:56:16
201,Ambon,-3.6954,128.1814,299.23,83,40,3.09,ID,2022-04-17 15:51:24
