City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Ilulissat,GL,2022-04-17 15:54:46,69.2167,-51.1,258.63,82,21,1.88
168,Ascension,US,2022-04-17 15:55:07,30.2169,-90.9001,300.97,81,100,4.12
169,Ixtapa,MX,2022-04-17 15:55:07,20.7,-105.2,306.56,14,84,1.43
170,Gushikawa,JP,2022-04-17 15:55:07,26.3544,127.8686,291.72,82,20,1.54
171,Kudymkar,RU,2022-04-17 15:55:07,59.0173,54.656,270.11,86,32,1.16
172,Sladkovo,RU,2022-04-17 15:55:08,55.5284,70.3385,279.92,54,14,3.27
173,Chuy,UY,2022-04-17 15:55:08,-33.6971,-53.4616,294.68,54,84,4.35
174,Iqaluit,CA,2022-04-17 15:55:08,63.7506,-68.5145,253.0,70,100,9.77
175,Hualmay,PE,2022-04-17 15:55:09,-11.0964,-77.6139,294.9,73,50,3.89
176,Linxia,CN,2022-04-17 15:55:09,35.6003,103.2064,279.68,39,100,2.42
177,Bull Savanna,JM,2022-04-17 15:55:10,17.8868,-77.5902,300.56,63,2,4.83
178,Raga,SS,2022-04-17 15:55:10,8.4596,25.678,308.14,27,79,0.92
179,Taoudenni,ML,2022-04-17 15:55:10,22.6783,-3.9836,305.71,15,0,7.05
180,Ponto Novo,BR,2022-04-17 15:55:11,-10.8628,-40.1336,300.4,71,100,3.92
181,Nemuro,JP,2022-04-17 15:50:34,43.3236,145.575,277.44,89,94,2.46
182,Pionerskiy,RU,2022-04-17 15:56:11,54.9508,20.2275,280.79,64,78,4.81
183,Constantine,DZ,2022-04-17 15:56:11,36.365,6.6147,290.82,51,40,11.83
184,Roald,NO,2022-04-17 15:56:12,62.5833,6.1333,290.66,66,40,2.57
185,Marawi,PH,2022-04-17 15:56:12,7.9986,124.2928,293.66,95,90,0.23
186,Jamestown,US,2022-04-17 15:53:50,42.097,-79.2353,275.11,57,75,4.63
187,Shimoda,JP,2022-04-17 15:56:12,34.6667,138.95,284.87,77,79,2.83
188,Huarmey,PE,2022-04-17 15:56:13,-10.0681,-78.1522,294.96,74,33,4.04
189,Rawson,AR,2022-04-17 15:56:13,-43.3002,-65.1023,291.15,56,29,10.48
190,Huangmei,CN,2022-04-17 15:56:13,30.1924,116.025,285.98,87,100,2.36
191,Dhidhdhoo,MV,2022-04-17 15:53:43,6.8833,73.1,302.45,74,100,4.88
192,Vegreville,CA,2022-04-17 15:56:14,53.5001,-112.0518,271.18,86,100,0.51
193,Brae,GB,2022-04-17 15:56:14,60.3964,-1.353,283.34,85,100,5.86
194,Vanimo,PG,2022-04-17 15:56:14,-2.6741,141.3028,299.2,87,90,1.22
195,Chapais,CA,2022-04-17 15:56:15,49.7834,-74.8492,270.03,74,100,6.45
196,Grindavik,IS,2022-04-17 15:56:15,63.8424,-22.4338,280.41,57,75,4.63
197,Hobyo,SO,2022-04-17 15:52:10,5.3505,48.5268,302.12,78,18,8.11
198,Sinnar,SD,2022-04-17 15:56:15,13.5691,33.5672,310.76,20,60,2.23
199,Katobu,ID,2022-04-17 15:56:16,-4.9408,122.5276,296.92,97,100,1.57
200,Tyrma,RU,2022-04-17 15:56:16,50.0833,132.1667,267.92,97,88,1.01
201,Ambon,ID,2022-04-17 15:51:24,-3.6954,128.1814,299.23,83,40,3.09
202,Barrow,US,2022-04-17 15:56:17,71.2906,-156.7887,253.28,93,21,3.94
203,Moose Factory,CA,2022-04-17 15:56:17,51.2585,-80.6094,267.15,73,100,4.12
204,Maniitsoq,GL,2022-04-17 15:56:17,65.4167,-52.9,268.61,60,99,0.41
205,Vyara,IN,2022-04-17 15:56:18,21.1167,73.4,300.74,57,0,3.38
206,Krasnoarmeysk,RU,2022-04-17 15:56:18,51.0239,45.6969,285.55,66,99,2.19
207,Watsa,CD,2022-04-17 15:56:18,3.0372,29.5355,297.22,56,99,1.32
208,Alofi,NU,2022-04-17 15:56:18,-19.0595,-169.9187,295.09,100,56,0.0
209,Norman Wells,CA,2022-04-17 15:56:19,65.282,-126.8329,253.17,65,20,1.03
210,Kruisfontein,ZA,2022-04-17 15:56:19,-34.0033,24.7314,290.86,76,31,2.49
211,Methoni,GR,2022-04-17 15:56:19,36.8197,21.7049,290.49,76,100,4.37
212,Coahuayana,MX,2022-04-17 15:56:20,18.7333,-103.6833,301.92,57,100,1.98
213,Skjervoy,NO,2022-04-17 15:56:20,70.0311,20.9714,279.15,97,100,3.6
214,Carnarvon,AU,2022-04-17 15:56:20,-24.8667,113.6333,294.19,94,100,2.57
215,Saskylakh,RU,2022-04-17 15:56:21,71.9167,114.0833,270.41,96,100,8.92
216,Pitimbu,BR,2022-04-17 15:56:21,-7.4706,-34.8086,304.48,69,80,3.94
217,Ribeira Grande,PT,2022-04-17 15:56:21,38.5167,-28.7,291.37,59,20,8.75
218,Lavumisa,SZ,2022-04-17 15:56:22,-27.31,31.892,289.55,98,100,0.9
